	% 10/3/2018	
	% 3:30 PM	
	% SAMPLE D mass: 142.398 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 	
	554.791	93.322	25.701	25.856
	555.826	93.255	25.711	25.838
	556.862	93.090	25.702	25.853
	557.893	93.341	25.699	25.845
	558.926	93.502	25.703	25.845
	559.954	93.391	25.719	25.862
	560.987	93.218	25.698	25.860
	562.018	93.199	25.698	25.861
	563.060	93.167	25.685	25.860
	564.091	93.318	25.705	25.862
	565.119	93.402	25.681	25.849
	566.153	93.256	25.696	25.838
	567.184	93.017	25.701	25.886
	568.214	93.147	25.700	25.841
	569.243	93.199	25.696	25.842
	570.271	93.180	25.706	25.837
	571.300	92.930	25.693	25.856
	572.328	93.173	25.704	25.839
	573.348	92.708	25.702	25.858
	574.381	93.220	25.707	25.842
	575.415	93.254	25.693	25.852
	576.446	93.171	25.692	25.852
	577.475	93.015	25.697	25.858
	578.506	93.028	25.687	25.832
	579.540	93.158	25.707	25.850
	580.576	93.099	25.707	25.862
	581.645	93.304	25.682	25.860
	582.672	93.116	25.684	25.840
	583.709	93.095	25.705	25.869
	584.739	93.267	25.721	25.831
	585.778	93.022	25.706	25.856
	586.836	93.283	25.723	25.874
	587.878	93.323	25.711	25.870
	588.938	93.326	25.700	25.843
	589.993	93.064	25.702	25.836
	591.026	93.312	25.733	25.829
	592.084	93.356	25.681	25.848
	593.160	93.278	25.721	25.856
	594.189	93.349	25.697	25.850
	595.229	93.460	25.705	25.836
	596.257	93.200	25.690	25.844
	597.315	93.396	25.694	25.846
	598.371	93.277	25.712	25.871
	599.408	93.396	25.694	25.844
	600.437	93.159	25.702	25.843
	601.472	93.191	25.713	25.849
	602.507	93.109	25.716	25.850
	603.542	93.196	25.691	25.863
	604.576	93.337	25.713	25.856
	605.610	93.290	25.692	25.859
	606.661	93.168	25.693	25.850
	607.724	93.078	25.696	25.839
	608.758	93.252	25.707	25.848
	609.798	92.977	25.693	25.846
	610.831	93.091	25.697	25.848
	611.854	93.022	25.702	25.835
	612.880	93.236	25.684	25.862
	613.908	92.686	25.697	25.855
	614.965	93.150	25.695	25.835
	616.053	93.075	25.699	25.843
	617.149	92.927	25.702	25.844
	618.180	92.979	25.699	25.845
	619.234	93.007	25.693	25.867
	620.266	93.143	25.714	25.852
	621.304	93.168	25.697	25.839
	622.342	93.055	25.699	25.848
	623.374	93.107	25.702	25.847
	624.447	93.181	25.694	25.866
	625.504	93.269	25.713	25.832
	626.535	93.038	25.711	25.832
	627.575	93.185	25.697	25.835
	628.609	93.155	25.703	25.843
	629.642	93.224	25.684	25.845
	630.678	93.294	25.696	25.843
	631.721	93.238	25.686	25.851
	632.745	93.133	25.694	25.843
	633.779	92.945	25.682	25.856
	634.829	93.031	25.700	25.840
	635.861	93.022	25.703	25.861
	636.899	93.199	25.697	25.848
	637.937	93.006	25.692	25.868
	638.972	93.100	25.708	25.816
	640.024	93.128	25.706	25.851
	641.083	93.211	25.705	25.853
	642.115	93.179	25.689	25.840
	643.145	93.194	25.691	25.859
	644.175	93.130	25.718	25.854
	645.204	93.114	25.691	25.842
	646.241	93.129	25.699	25.846
	647.310	92.954	25.683	25.847
	648.364	93.076	25.679	25.849
	649.396	93.331	25.702	25.839
	650.431	93.209	25.697	25.852
	651.458	93.302	25.686	25.871
	652.491	93.139	25.707	25.841
	653.524	93.114	25.695	25.846
	654.578	93.145	25.693	25.843
	655.642	93.250	25.705	25.825
	656.674	93.083	25.706	25.836
	657.697	93.171	25.685	25.841
	658.724	93.145	25.716	25.851
	659.757	93.178	25.703	25.833
	660.785	93.181	25.681	25.846
	661.829	93.117	25.704	25.847
	662.862	93.092	25.698	25.833
	663.890	93.164	25.685	25.831
	664.919	93.198	25.709	25.829
	665.947	93.146	25.690	25.841
	666.978	93.175	25.713	25.823
	668.013	93.010	25.694	25.845
	669.044	92.906	25.692	25.844
	670.077	92.851	25.693	25.828
	671.125	93.096	25.700	25.837
	672.154	93.205	25.709	25.852
	673.183	93.157	25.698	25.844
	674.219	93.337	25.685	25.832
	675.248	93.175	25.680	25.825
	676.286	93.043	25.684	25.865
	677.318	93.103	25.689	25.842
	678.352	93.128	25.701	25.865
	679.383	93.072	25.679	25.839
	680.413	93.137	25.689	25.851
	681.447	93.071	25.692	25.831
	682.477	92.968	25.682	25.836
	683.506	92.974	25.699	25.840
	684.535	93.098	25.685	25.836
	685.561	93.181	25.677	25.827
	686.588	93.353	25.692	25.832
	687.622	93.251	25.683	25.856
	688.653	93.024	25.681	25.841
	689.675	92.711	25.694	25.826
	690.704	92.899	25.683	25.845
	691.726	93.219	25.695	25.821
	692.757	93.219	25.697	25.822
	693.788	93.217	25.676	25.839
	694.822	93.322	25.669	25.832
	695.859	93.353	25.690	25.831
	696.888	93.130	25.703	25.824
	697.918	93.341	25.713	25.827
	698.945	93.053	25.660	25.854
	699.976	93.301	25.689	25.845
	701.009	93.312	25.684	25.835
	702.037	93.177	25.686	25.837
	703.070	93.228	25.670	25.830
	704.098	93.361	25.662	25.830
	705.125	93.240	25.695	25.818
	706.156	93.270	25.678	25.830
	707.186	93.279	25.677	25.844
	708.215	93.313	25.684	25.822
	709.246	93.157	25.682	25.836
	710.275	93.157	25.682	25.826
	711.305	93.150	25.703	25.830
	712.335	93.128	25.654	25.834
	713.371	93.317	25.688	25.826
	714.403	93.201	25.687	25.852
	715.438	93.185	25.684	25.820
	716.469	93.374	25.676	25.825
	717.508	93.092	25.678	25.823
	718.538	93.354	25.695	25.819
	719.579	93.156	25.676	25.829
	720.609	93.143	25.676	25.821
	721.642	93.072	25.684	25.829
	722.822	93.084	25.684	25.827
	723.857	92.863	25.676	25.827
	724.882	93.055	25.694	25.819
	725.909	93.203	25.660	25.824
	726.935	93.187	25.665	25.818
	727.969	93.002	25.694	25.825
	729.006	93.092	25.687	25.809
	730.042	93.081	25.699	25.837
	731.075	93.053	25.674	25.811
	732.112	93.013	25.685	25.832
	733.143	93.278	25.669	25.827
	734.172	92.936	25.682	25.819
	735.209	93.215	25.677	25.821
	736.247	93.256	25.672	25.846
	737.284	93.237	25.673	25.826
	738.319	92.834	25.692	25.823
	739.349	93.226	25.702	25.826
	740.383	93.065	25.690	25.835
	741.424	93.116	25.684	25.829
	742.467	93.057	25.671	25.823
	743.506	93.325	25.700	25.821
	744.543	93.146	25.688	25.819
	745.572	93.157	25.675	25.833
	746.599	93.187	25.687	25.839
	747.627	93.136	25.680	25.827
	748.695	93.218	25.680	25.846
	749.763	93.206	25.701	25.845
	750.797	93.248	25.675	25.808
	751.849	93.206	25.673	25.836
	752.879	93.133	25.665	25.839
	753.906	93.182	25.662	25.834
	754.939	93.159	25.687	25.790
	755.978	93.471	25.685	25.827
	757.013	93.520	25.686	25.836
	758.041	93.333	25.686	25.822
	759.068	93.237	25.672	25.812
	760.101	93.303	25.664	25.827
	761.129	93.388	25.673	25.848
	762.166	93.356	25.668	25.839
	763.201	93.338	25.685	25.827
	764.228	93.214	25.683	25.811
	765.258	93.038	25.688	25.839
	766.293	93.161	25.666	25.822
	767.329	93.185	25.661	25.829
	768.393	93.370	25.670	25.828
	769.467	93.203	25.678	25.842
	770.505	93.254	25.646	25.824
	771.538	93.426	25.678	25.812
	772.568	93.341	25.657	25.833
	773.602	93.080	25.664	25.826
	774.635	93.041	25.684	25.810
	775.662	93.016	25.680	25.846
	776.699	93.242	25.670	25.826
	777.729	93.265	25.683	25.814
	778.757	93.245	25.673	25.828
	779.794	93.350	25.667	25.818
	780.828	93.486	25.682	25.816
	781.846	93.331	25.678	25.808
	782.877	93.297	25.693	25.813
	783.913	93.163	25.683	25.827
	784.950	93.033	25.692	25.812
	785.981	93.026	25.673	25.823
	787.022	93.102	25.675	25.841
	788.047	93.175	25.663	25.818
	789.074	93.262	25.672	25.851
	790.102	93.290	25.665	25.823
	791.134	93.002	25.651	25.837
	792.203	93.273	25.665	25.840
	793.261	93.240	25.645	25.834
	794.290	93.236	25.679	25.833
	795.317	93.425	25.686	25.828
	796.349	93.246	25.692	25.813
	797.378	93.215	25.682	25.816
	798.465	93.198	25.682	25.793
	799.561	93.279	25.685	25.811
	800.595	93.412	25.692	25.799
	801.627	93.297	25.684	25.835
	802.656	93.082	25.685	25.819
	803.687	93.030	25.673	25.815
	804.726	93.066	25.673	25.819
	805.754	93.126	25.675	25.817
	806.787	93.243	25.677	25.828
	807.817	93.236	25.679	25.826
	808.849	93.059	25.670	25.812
	809.880	93.100	25.672	25.809
	810.910	93.310	25.673	25.802
